genotype,summary
Rs10086908,[u'1.7x increased risk for prostate cancer']
Rs1047781,"[u'ABH blood group ""Secretor"" status if Japanese']"
Rs1042714,[u'complex; see details for increased risks']
Rs1042713,[u'1.3x increased risk that pediatric inhaler use may make asthma worse']
Rs10244329,[u'common in complete genomics']
Rs10401969,[u'common in complete genomics']
Rs10067427,[]
Rs10055544,[]
Rs10033464,[u'1.4x increased risk of Atrial Fibrillation and cardioembolic stroke']
Rs10134944,[u'normal']
Rs104886091,[u'common in clinvar']
Rs1004819,[u'common']
Rs1012729,[u'altered pediatric blood pressure']
Rs10151259,[u'Unaffected carrier of *possible* cone-rod mutation']
Rs1042838,[u'normal risk']
Rs10162002,[u'common in complete genomics']
Rs1047964,[u'common on affy axiom data']
Rs104886133,[u'common in clinvar']
Rs1026732,[u'&lt;0.70x risk for restless legs']
Rs1011970,[u'common in complete genomics']
Rs1042713,[u'normal']
Rs10134944,[u'1.3x risk']
Rs10486776,[u'common on affy axiom data']
Rs1042636,[u'common in complete genomics']
Rs1024611,[u'increased risk of exercise induced ischemia']
Rs10306114,[u'Higher risk of bleeding during coronary angiography']
Rs1012620,[u'common in complete genomics']
Rs104886122,[u'common in clinvar']
Rs1045485,[u'common/normal']
Rs1012729,[u'altered pediatric blood pressure']
Rs10270805,[u'common in complete genomics']
Rs104886134,[u'common in clinvar']
Rs1018381,[u'normal cognitive ability']
Rs1031681,[u'1.3x increased risk for depression (for those under 55)']
Rs1012053,[u'0.625x reduced risk of Bipolar Disorder.']
Rs10488031,[u'common in complete genomics']
Rs104886112,[u'common in clinvar']
Rs1047552,[u'1.6x higher atherosclerosis risk only in males']
Rs1037757,[u'common in complete genomics']
Rs10181656,[u'1.7x increased SLE risk']
Rs104886066,[u'common in clinvar']
Rs10464059,"[u""Normal risk of developing Parkinson's Disease""]"
Rs1009388,[]
Rs1045642,[u'Slower metaboliser for some drugs']
Rs103612,[]
Rs104886147,[u'common in clinvar']
Rs10485057,[u'normal']
Rs10221833,[u'common in complete genomics']
Rs10487818,[u'common in complete genomics']
Rs10096097,[u'unknown Anorexia Nervosa risk']
Rs104886036,[u'common in clinvar']
Rs10468017,[u'associated with higher HDL cholesterol']
Rs1042173,[u'normal']
Rs1005041,[u'Relevant to haplogroup R1']
Rs1007371,[u'rare genotype.']
Rs10479334,[u'common on affy axiom data']
Rs10090154,[u'normal']
Rs1040461,[u'common in complete genomics']
Rs1048095,[u'Reported to be associated with permanent neonatal diabetes mellitus']
Rs1034762,[]
Rs10417628,[]
Rs104886054,[u'common in clinvar']
Rs10,[]
Rs104886003,[u'common in complete genomics']
Rs10248351,[u'common in complete genomics']
Rs1047266,[u'common on affy axiom data']
Rs1045643,[u'common in complete genomics']
Rs104886125,[u'common in clinvar']
Rs1033180,[u'common in complete genomics']
Rs10264272,[u'carrier of a silent polymorphism in CYP3A5']
Rs104886172,[u'common in clinvar']
Rs1042031,[]
Rs10090154,[u'1.4x increased risk for prostate cancer']
Rs1001179,[u'0.6x decreased acoustic neuroma risk']
Rs1042522,[u'Slightly increased lifespan?']
Rs1003533,[]
Rs104886052,[u'common in clinvar']
Rs104886131,[u'common in clinvar']
Rs1046089,[u'normal']
Rs10210302,[u'1.2x risk']
Rs104886166,[u'common in clinvar']
Rs104886145,[u'common in clinvar']
Rs10180496,[u'Dental caries']
Rs10086908,[u'1.7x increased risk for prostate cancer']
Rs10008492,"[u""Very small 1.1x increased risk for Non-hodgkin's lymphoma""]"
Rs1043424,[]
Rs104886139,[u'common in clinvar']
Rs1005651,[u'common in complete genomics']
Rs1042602,[u'associated with the absence of freckles']
Rs104886093,[u'common in clinvar']
Rs1039002,[u'common in complete genomics']
Rs1047552,[u'normal']
Rs104886081,[u'common in clinvar']
Rs1045644,[u'common in clinvar']
Rs10438933,[]
Rs10029345,[u'common in complete genomics']
Rs1041983,[]
Rs104886068,[u'common in clinvar']
Rs1042034,[]
Rs1041163,[u'common in complete genomics']
Rs104886057,[u'common in clinvar']
Rs10464059,"[u""Increased risk of developing Parkinson's Disease""]"
Rs1041988,[u'carrier of one CYP3A4*_23139T&gt;C(I431T) allele']
Rs1027557,[]
Rs10264272,[u'CYP3A5*6 homozygote; nonexpressor for CYP3A5']
Rs10260404,[u'1.60x risk of developing ALS']
Rs1012672,[u'common in complete genomics']
Rs104886082,[u'common in clinvar']
Rs104886121,[u'common in clinvar']
Rs104886105,[u'common in clinvar']
Rs1044394,[u'common in clinvar']
Rs1000597,[u'1.22x risk of kidney stone in Japanese']
Rs1010,[u'1.75x risk of MI']
Rs10210302,[u'normal']
Rs1021737,[u'common in clinvar']
Rs1029272,[]
Rs1009668,[u'common in complete genomics']
Rs10141940,[u'common on affy axiom data']
Rs104886094,[u'common in clinvar']
Rs104886061,[u'common in clinvar']
Rs104886160,[u'common in clinvar']
Rs1034428,[u'normal']
Rs10411210,[]
Rs1038304,[]
Rs104886163,[u'common in clinvar']
Rs104886113,[u'common in clinvar']
Rs1031552,[u'common in complete genomics']
Rs104886101,[u'common in clinvar']
Rs104886150,[u'common in clinvar']
Rs1015362,[u'Probably tans instead of freckles and sunburns.']
Rs10487372,[u'common in complete genomics']
Rs104886086,[u'common in clinvar']
Rs10168266,"[u""1.44x risk of Sjogren's syndrome""]"
Rs10127939,[u'common in clinvar']
Rs10169372,[u'common in complete genomics']
Rs10088218,[u'0.76x decreased risk for ovarian cancer']
Rs1042838,[u'1.42x risk for endometrial ovarian cancer; overlaps with rs608995']
Rs1000735,[]
Rs10234329,[u'common in complete genomics']
Rs104886109,[u'common in clinvar']
Rs10407503,[u'common in complete genomics']
Rs1042522,[u'Live 3 years longer. Chemotherapy is more effective.']
Rs10306114,[u'normal']
Rs10484554,[u'~4x increased risk for psoriasis']
Rs104886117,[u'common in clinvar']
Rs10168266,"[u""1.44x risk of Sjogren's syndrome""]"
Rs104886136,[u'common in clinvar']
Rs1032757,[u'common in complete genomics']
Rs10178458,[]
Rs1044165,[]
Rs104886153,[u'common in clinvar']
Rs10088218,[]
Rs10012,[u'common in clinvar']
Rs10197862,[u'common in complete genomics']
Rs1043994,[u'?']
Rs104886048,[u'common in clinvar']
Rs1041951,[u'common on affy axiom data']
Rs10033119,[u'common in complete genomics']
Rs104886162,[u'common in clinvar']
Rs104886032,[u'common in clinvar']
Rs104886128,[u'common in clinvar']
Rs104886152,[u'common in clinvar']
Rs1006737,[u'increased risk of Bipolar disorder']
Rs104886037,[u'common in clinvar']
Rs10407022,[]
Rs10401120,[u'common in complete genomics']
Rs10239794,[u'1.3x risk for ALS']
Rs104886174,[u'common in clinvar']
Rs1042580,[]
Rs10065172,[u'common in complete genomics']
Rs1042602,[u'None']
Rs10246256,[u'None']
Rs104886168,[u'common in clinvar']
Rs1047254,[u'common in complete genomics']
Rs1006737,[]
Rs10127939,"[u'immunodeficiency, but not for 23andMe users']"
Rs1024611,[u'normal risk']
Rs10181656,[u'normal']
Rs104886055,[u'common in clinvar']
Rs10262966,[u'common in clinvar']
Rs1042391,[u'common in clinvar']
Rs1041988,[u'CYP3A4*_23139T&gt;C(I431T) homozygote']
Rs1012053,[u'0.39x reduced risk of Bipolar Disorder.']
Rs1041981,[u'Higher myocardial infarction risk']
Rs10192566,"[u'if diabetic, better response to rosiglitazone']"
Rs1041981,[u'normal']
Rs1042173,[u'normal']
Rs10096097,[u'increased Anorexia Nervosa risk']
Rs1042821,[u'common in clinvar']
Rs104886111,[u'common in clinvar']
Rs104886110,[u'common in clinvar']
Rs10134944,[u'1.4x risk']
Rs104886161,[u'common in clinvar']
Rs104886173,[u'common in clinvar']
Rs10250779,[u'possible exercise-inducing cramping in African-Americans']
Rs1047781,"[u'ABH blood group ""Non-Secretor"" status if Japanese']"
Rs10207654,[u'common in complete genomics']
Rs1026732,[u'0.70x risk for restless legs']
Rs1044,[u'common in complete genomics']
Rs10239794,[u'average']
Rs1047286,[u'1.7x increased risk for age-related macular degeneration']
Rs10484128,[u'common in complete genomics']
Rs10402876,[]
Rs10468017,[u'associated with higher HDL cholesterol']
Rs1042714,[u'complex; see details for increased risks']
Rs10486607,[u'common on affy axiom data']
Rs1024611,"[u'increased risk of exercise induced ischemia, Increased CCL2 levels; increased rate of HIV progression']"
Rs10437048,[u'common in complete genomics']
Rs1044396,[u'Increased risk of Nicotine dependence among males']
Rs1048661,[u'possibly higher glaucoma risk?']
Rs10455872,[u'common/normal']
Rs10195263,[]
Rs1015362,[u'2-4x higher risk of sun sensitivity if part of risk haplotype.']
Rs1042838,[u'1.28x risk for endometrial ovarian cancer; overlaps with rs608995']
Rs10116277,[]
Rs10034228,[]
Rs10481151,[]
Rs1045485,[u'slightly (0.89x) lowered risk for breast cancer']
Rs10250779,[u'normal']
Rs1048095,[u'common in clinvar']
Rs104886167,[u'common in clinvar']
Rs1046089,[u'normal']
Rs10166942,[u'common in complete genomics']
Rs104886138,[u'common in clinvar']
Rs104886102,[u'common in clinvar']
Rs10159302,[u'common in complete genomics']
Rs1000597,[u'1.22x risk of kidney stone in Japanese']
Rs104886116,[u'common in clinvar']
Rs104886071,[u'common in clinvar']
Rs10246939,[u'possibly unable to taste bitterness']
Rs10192566,"[u'if diabetic, better response to rosiglitazone']"
Rs1048661,[u'average']
Rs104886097,[u'common in clinvar']
Rs1047972,[]
Rs10087163,[u'common in clinvar']
Rs10177833,[u'possible reduction in risk for salt-induced hypertension']
Rs104886076,[u'common in clinvar']
Rs10166942,[u'0.85x lower risk for migraines']
Rs104886051,[u'common in clinvar']
Rs104886095,[u'common in clinvar']
Rs1034428,[u'2.19x increased risk for schizophrenia in females']
Rs1042917,[u'common in clinvar']
Rs10050860,[u'Normal risk (about 0.1%) for Ankylosing Spondylitis.']
Rs10181656,[u'1.7x increased SLE risk']
Rs104886065,[u'common in clinvar']
Rs10488,[]
Rs104886098,[u'common in clinvar']
Rs104886100,[u'common in clinvar']
Rs10131,[]
Rs1048108,[u'common in clinvar']
Rs1042522,[u'Common variant. Slightly shorter lifespan.']
Rs104886135,[u'common in clinvar']
Rs10486003,[u'common in complete genomics']
Rs10248420,[u'7x more likely to respond to certain antidepressants']
Rs1047031,[u'normal']
Rs104886104,[u'common in clinvar']
Rs10282312,[u'common on affy axiom data']
Rs1000916,[u'common in complete genomics']
Rs1047031,[u'normal']
Rs1042031,[]
Rs1031681,[u'normal']
Rs104886046,[u'common in clinvar']
Rs10033464,[u'1.28x increased risk of Atrial Fibrillation and cardioembolic stroke.']
Rs1000113,[u'normal']
Rs104886144,[u'common in clinvar']
Rs104886120,[u'common in clinvar']
Rs1045642,[u'altered drug metabolism and bioavailability; moderately increased risk for certain cancers']
Rs104886157,[u'common in clinvar']
Rs104886124,[u'common in clinvar']
Rs104886099,[u'common in clinvar']
Rs10446073,[]
Rs10103355,[u'common in complete genomics']
Rs1034428,[u'2.19x increased risk for schizophrenia in females']
Rs10109700,[]
Rs104886040,[u'common in clinvar']
Rs104886072,[u'common in clinvar']
Rs10483774,[u'common in complete genomics']
Rs1031681,[]
Rs1012053,[u'Normal (higher) risk of Bipolar Disorder.']
Rs10464059,"[u""Slightly increased risk of developing Parkinson's Disease""]"
Rs1001179,[u'normal']
Rs104886126,[u'common in clinvar']
Rs10090154,[u'1.4x increased risk for prostate cancer']
Rs1045485,[u'Reduced Risk of Breast Cancer']
Rs104886063,[u'common in clinvar']
Rs104886103,[u'common in clinvar']
Rs10281281,[u'common in complete genomics']
Rs10246256,[u'None']
Rs104886073,[u'common in clinvar']
Rs104886164,[u'common in clinvar']
Rs104886044,[u'common in clinvar']
Rs104886077,[u'common in clinvar']
Rs1046089,[u'0.48x risk of malaria']
Rs10437629,[u'common in complete genomics']
Rs10116682,[u'common in complete genomics']
Rs10260404,[u'Normal risk of developing ALS']
Rs10192566,"[u'if diabetic, poorer response to rosiglitazone']"
Rs104886045,[u'common in clinvar']
Rs1047286,[u'common in clinvar']
Rs10034228,[]
Rs1042725,[u'~0.4cm taller']
Rs1008642,[u'common in clinvar']
Rs1012729,[u'normal']
Rs1047781,"[u'ABH blood group ""Secretor"" status if Japanese']"
Rs104886074,[u'common in clinvar']
Rs10246256,[u'higher risk of speech development delay and/or impairment']
Rs104886127,[u'common in clinvar']
Rs104886151,[u'common in clinvar']
Rs104886067,[u'common in clinvar']
Rs104886058,[u'common in clinvar']
Rs104886146,[u'common in clinvar']
Rs104886156,[u'common in clinvar']
Rs1047768,[u'common in clinvar']
Rs1048661,[u'possibly higher glaucoma risk?']
Rs104886142,[u'common in clinvar']
Rs10427255,[u'lowest odds of photic sneeze reflex']
Rs1018381,[u'impaired cognitive ability']
Rs10484554,[u'2.8x increased risk for psoriasis']
Rs10219495,[u'common on affy axiom data']
Rs1021737,[u'significantly higher plasma total homocysteine concentration']
Rs10248420,[u'7x less likely to respond to certain antidepressants']
Rs104886056,[u'common in clinvar']
Rs104886075,[u'common in clinvar']
Rs10050257,[u'common in complete genomics']
Rs104886119,[u'common in clinvar']
Rs104886118,[u'common in clinvar']
Rs10250779,[u'common in clinvar']
Rs104886158,[u'common in clinvar']
Rs1027557,[u'heterozygosity seems common']
Rs10155917,[u'common in complete genomics']
Rs10151259,[u'Recessive genotype uncertain pathogenicity']
Rs1000597,[u'common in complete genomics']
Rs1027643,[u'common in complete genomics']
Rs104886047,[u'common in clinvar']
Rs1012672,[]
Rs1047286,[u'1.3x increased risk for age-related macular degeneration']
Rs1036819,[u'common on affy axiom data']
Rs104886034,[u'common in clinvar']
Rs104886137,[u'common in clinvar']
Rs1042725,[u'~0.8cm taller']
Rs10411210,[u'1.15x increased risk of colorectal cancer']
Rs1042034,[u'common in clinvar']
Rs104886107,[u'common in clinvar']
Rs104886088,[u'common in clinvar']
Rs10050860,[u'0.71x lower risk for Ankylosing Spondylitis.']
Rs104886143,[u'common in clinvar']
Rs1003483,[]
Rs104886114,[u'common in clinvar']
Rs10166942,[u'0.7x lower risk for migraines']
Rs104886079,[u'common in clinvar']
Rs1042638,[u'common in complete genomics']
Rs10484410,[]
Rs1015537,[u'common in complete genomics']
Rs10246939,[u'can taste bitter']
Rs1042173,"[u'among alcoholics, likely to be heavier drinkers']"
Rs104886085,[u'common in clinvar']
Rs1046974,[u'common in clinvar']
Rs1000113,"[u""1.5x risk of Crohn's disease""]"
Rs104886080,[u'common in clinvar']
Rs1043994,[u'?']
Rs1042713,[u'1.7x increased risk that pediatric inhaler use may make asthma worse']
Rs1001179,[u'0.6x decreased acoustic neuroma risk']
Rs10086908,[u'normal risk']
Rs1013579,[u'common in complete genomics']
Rs10411195,[u'common in complete genomics']
Rs10431397,[]
Rs104886060,[u'common in clinvar']
Rs10210302,[u'1.8x risk']
Rs1003723,[u'common in clinvar']
Rs10090288,[u'common in complete genomics']
Rs104886115,[u'common in clinvar']
Rs104886123,[u'common in clinvar']
Rs10380,[u'common in complete genomics']
Rs10485057,"[u'increased risk for smoking, nicotine dependence']"
Rs1042602,[u'None']
Rs10455872,"[u'2,57x increased Coronary Heart disease risk']"
Rs10466868,[u'common on affy axiom data']
Rs10074645,[u'common in complete genomics']
Rs104886039,[u'common in clinvar']
Rs104886038,[u'common in clinvar']
Rs104886053,[u'common in clinvar']
Rs104886130,[u'common in clinvar']
Rs10485165,[u'common on affy axiom data']
Rs1007371,[]
Rs10486715,[u'common in complete genomics']
Rs104886096,[u'common in clinvar']
Rs10246939,[u'can taste bitter']
Rs10151259,[u'common in clinvar']
Rs1010,[u'normal form']
Rs104886035,[u'common in clinvar']
Rs10485057,[u'normal?']
Rs1004819,"[u""1.5x risk of Crohn's disease""]"
Rs104886083,[u'common in clinvar']
Rs1043994,[u'common']
Rs10131,[]
Rs1000113,"[u""1.9x risk of Crohn's disease""]"
Rs104886171,[u'common in clinvar']
Rs10141896,[u'common in complete genomics']
Rs104886062,[u'common in clinvar']
Rs1015362,[u'2-4x higher risk of sun sensitivity if part of risk haplotype.']
Rs10455872,"[u'1,51x increased Coronary Heart disease risk']"
Rs10033464,[u'0.92x decreased risk of Atrial Fibrillation and cardioembolic stroke.']
Rs10087163,[u'common on affy axiom data']
Rs104886041,[u'common in clinvar']
Rs10264272,[u'normal']
Rs10092658,[u'common in complete genomics']
Rs104886108,[u'common in clinvar']
Rs104886141,[u'common in clinvar']
Rs10131,[]
Rs1013075,[u'common in complete genomics']
Rs104886070,[u'common in clinvar']
Rs1042778,"[u""Slightly lower oxytocin & empathy? Possibly higher 'callous-unemotional' trait frequency in children.""]"
Rs10108954,[u'common in complete genomics']
Rs104886129,[u'common in clinvar']
Rs104886059,[u'common in clinvar']
Rs104886165,[u'common in clinvar']
Rs104886078,[u'common in clinvar']
Rs10106137,[]
Rs10306114,[u'Higher risk of bleeding during coronary angiography']
Rs1010,[u'1.75x risk of MI']
Rs104893809,[u'common in clinvar']
Rs104893756,[u'common in clinvar']
Rs104886362,[u'common in clinvar']
Rs104886380,[u'common in clinvar']
Rs104893748,[u'common in clinvar']
Rs104886418,[u'common in clinvar']
Rs104893736,[u'common in clinvar']
Rs104886337,[u'common in clinvar']
Rs104886258,[u'common in clinvar']
Rs104886327,[u'common in clinvar']
Rs104893795,[u'common in clinvar']
Rs104886412,[u'common in clinvar']
Rs104886286,[u'common in clinvar']
Rs104886415,[u'common in clinvar']
Rs104886245,[u'common in clinvar']
Rs104893646,[u'common in clinvar']
Rs104893670,[u'common in clinvar']
Rs104893767,[u'common in clinvar']
Rs104886210,[u'common in clinvar']
Rs104886287,[u'common in clinvar']
Rs104893724,[u'common in clinvar']
Rs104886239,[u'common in clinvar']
Rs104886282,[u'common in clinvar']
Rs104886262,[u'common in clinvar']
Rs104886218,[u'common in clinvar']
Rs104886252,[u'common in clinvar']
Rs104886365,[u'common in clinvar']
Rs104893735,[u'common in clinvar']
Rs104886292,[u'common in clinvar']
Rs104893688,[u'common in clinvar']
Rs104893622,[u'common in clinvar']
Rs104886199,[u'common in clinvar']
Rs104886346,[u'common in clinvar']
Rs104886416,[u'common in clinvar']
Rs104893691,[u'common in clinvar']
Rs104886325,[u'common in clinvar']
Rs104886223,[u'common in clinvar']
Rs104886375,[u'common in clinvar']
Rs104886488,[u'common in clinvar']
Rs104893630,[u'common in clinvar']
Rs104886387,[u'common in clinvar']
Rs104886178,[u'common in clinvar']
Rs104893790,[u'common in clinvar']
Rs104886385,[u'common in clinvar']
Rs104893676,[u'common in clinvar']
Rs104893750,[u'common in clinvar']
Rs104886412,[u'common in clinvar']
Rs104886403,[u'common in clinvar']
Rs104886429,[u'common in clinvar']
Rs104893678,[u'common in clinvar']
Rs104893617,[u'common in clinvar']
Rs104886363,[u'common in clinvar']
Rs104886313,[u'common in clinvar']
Rs104893702,[u'common in clinvar']
Rs104886433,[u'common in clinvar']
Rs104893747,[u'common in clinvar']
Rs104886246,[u'common in clinvar']
Rs104893629,[u'common in clinvar']
Rs104893773,[u'common in clinvar']
Rs104886272,[u'common in clinvar']
Rs104886456,[u'Fanconi anemia carrier']
Rs104893742,[u'common in clinvar']
Rs104893743,[u'common in clinvar']
Rs104893733,[u'common in clinvar']
Rs104893716,[u'common in clinvar']
Rs104886242,[u'common in clinvar']
Rs104886208,[u'common in clinvar']
Rs104886229,[u'common in clinvar']
Rs104886211,[u'common in clinvar']
Rs104893621,[u'common in clinvar']
Rs104893620,[u'common in clinvar']
Rs104893641,[u'common in clinvar']
Rs104893764,[u'common in clinvar']
Rs104886221,[u'common in clinvar']
Rs104893689,[u'common in clinvar']
Rs104886370,[u'common in clinvar']
Rs104893687,[u'common in clinvar']
Rs104886368,[u'common in clinvar']
Rs104886373,[u'common in clinvar']
Rs104893693,[u'common in clinvar']
Rs104886453,[u'common in clinvar']
Rs104886366,[u'common in clinvar']
Rs104893832,[u'common in clinvar']
Rs104886393,[u'common in clinvar']
Rs104893825,[u'common in clinvar']
Rs104893793,[u'common in clinvar']
Rs104893778,[u'common in clinvar']
Rs104893808,[u'common in clinvar']
Rs104893696,[u'common in clinvar']
Rs104886459,[u'common in complete genomics']
Rs104886390,[u'common in clinvar']
Rs104886302,[u'common in clinvar']
Rs104886176,[u'common in clinvar']
Rs104886435,[u'common in clinvar']
Rs104886357,[u'common in clinvar']
Rs104886333,[u'common in clinvar']
Rs104886351,[u'common in clinvar']
Rs104893633,[u'common in clinvar']
Rs104893740,[u'common in clinvar']
Rs104886394,[u'common in clinvar']
Rs104886456,[u'Fanconi Anemia (FANCC-related)']
Rs104893774,[u'common in clinvar']
Rs104886427,[u'common in clinvar']
Rs104886274,[u'common in clinvar']
Rs104893700,[u'common in clinvar']
Rs104893789,[u'common in clinvar']
Rs104893768,[u'common in clinvar']
Rs104893769,[u'common in clinvar']
Rs104886297,[u'common in clinvar']
Rs104886268,[u'common in clinvar']
Rs104886435,[u'common in clinvar']
Rs104886343,[u'common in clinvar']
Rs104893708,[u'common in clinvar']
Rs104886372,[u'common in clinvar']
Rs104886381,[u'common in clinvar']
Rs104893663,[u'common in clinvar']
Rs104886284,[u'common in clinvar']
Rs104893677,[u'common in clinvar']
Rs104886275,[u'common in clinvar']
Rs104886305,[u'common in clinvar']
Rs104893812,[u'common in clinvar']
Rs104886299,[u'common in clinvar']
Rs104893794,[u'common in clinvar']
Rs104893799,[u'common in clinvar']
Rs104893686,[u'common in clinvar']
Rs104886437,[u'common in clinvar']
Rs104886283,[u'common in clinvar']
Rs104886395,[u'common in clinvar']
Rs104893830,[u'common in clinvar']
Rs104886183,[u'common in clinvar']
Rs104886290,[u'common in clinvar']
Rs104886289,[u'common in clinvar']
Rs104886314,[u'common in clinvar']
Rs104893651,[u'common in clinvar']
Rs104886393,[u'common in clinvar']
Rs104886409,[u'common in clinvar']
Rs104886273,[u'common in clinvar']
Rs104893824,[u'common in clinvar']
Rs104893725,[u'common in clinvar']
Rs104886207,[u'common in clinvar']
Rs104893746,[u'common in clinvar']
Rs104886398,[u'common in clinvar']
Rs104893639,[u'common in clinvar']
Rs104886186,[u'common in clinvar']
Rs104893770,[u'common in clinvar']
Rs104886426,[u'common in clinvar']
Rs104886206,[u'common in clinvar']
Rs104893710,[u'common in clinvar']
Rs104886307,[u'common in clinvar']
Rs104886212,[u'common in clinvar']
Rs104886460,[u'Unaffected carrier of Gaucher disease variant']
Rs104886391,[u'common in clinvar']
Rs104893726,[u'common in clinvar']
Rs104893613,[u'common in clinvar']
Rs104893731,[u'common in clinvar']
Rs104893674,[u'common in clinvar']
Rs104893803,[u'common in clinvar']
Rs104886185,[u'common in clinvar']
Rs104893818,[u'common in clinvar']
Rs104893744,[u'common in clinvar']
Rs104886308,[u'common in clinvar']
Rs104893804,[u'common in clinvar']
Rs104886285,[u'common in clinvar']
Rs104886248,[u'common in clinvar']
Rs104893720,[u'common in clinvar']
Rs104886319,[u'common in clinvar']
Rs104893671,[u'common in clinvar']
Rs104886340,[u'common in clinvar']
Rs104886233,[u'common in clinvar']
Rs104893685,[u'common in clinvar']
Rs104886281,[u'common in clinvar']
Rs104886300,[u'common in clinvar']
Rs104886442,[u'common in clinvar']
Rs104893660,[u'common in clinvar']
Rs104886388,[u'common in clinvar']
Rs104893615,[u'common in clinvar']
Rs104886371,[u'common in clinvar']
Rs104886193,[u'common in clinvar']
Rs104886192,[u'common in clinvar']
Rs104893814,[u'common in clinvar']
Rs104893749,[u'common in clinvar']
Rs104893711,[u'common in clinvar']
Rs104893813,[u'common in clinvar']
Rs104886344,[u'common in clinvar']
Rs104886263,[u'common in clinvar']
Rs104893681,[u'common in clinvar']
Rs104893728,[u'common in clinvar']
Rs104886311,[u'common in clinvar']
Rs104886267,[u'common in clinvar']
Rs104886270,[u'common in clinvar']
Rs104886430,[u'common in clinvar']
Rs104886291,[u'common in clinvar']
Rs104886356,[u'common in clinvar']
Rs104886329,[u'common in clinvar']
Rs104886232,[u'common in clinvar']
Rs104886177,[u'common in clinvar']
Rs104893694,[u'common in clinvar']
Rs104886318,[u'common in clinvar']
Rs104886461,[u'normal']
Rs104893815,[u'common in clinvar']
Rs104893653,[u'common in clinvar']
Rs104886459,[u'Fanconi anemia']
Rs104886188,[u'common in clinvar']
Rs104893698,[u'common in clinvar']
Rs104886440,[u'common in clinvar']
Rs104893834,[u'common in clinvar']
Rs104886296,[u'common in clinvar']
Rs104893729,[u'common in clinvar']
Rs104886359,[u'common in clinvar']
Rs104893765,[u'common in clinvar']
Rs104886222,[u'common in clinvar']
Rs104886384,[u'common in clinvar']
Rs104886338,[u'common in clinvar']
Rs104886259,[u'common in clinvar']
Rs104886312,[u'common in clinvar']
Rs104886423,[u'common in clinvar']
Rs104893810,[u'common in clinvar']
Rs104893640,[u'common in clinvar']
Rs104893719,[u'common in clinvar']
Rs104893758,[u'common in clinvar']
Rs104886345,[u'common in clinvar']
Rs104893779,[u'common in clinvar']
Rs104893679,[u'common in clinvar']
Rs104886456,[u'common in complete genomics']
Rs104886358,[u'common in clinvar']
Rs104886264,[u'common in clinvar']
Rs104886331,[u'common in clinvar']
Rs104886294,[u'common in clinvar']
Rs104893704,[u'common in clinvar']
Rs104886201,[u'common in clinvar']
Rs104886458,[u'common in clinvar']
Rs104893775,[u'common in clinvar']
Rs104893667,[u'common in clinvar']
Rs104886355,[u'common in clinvar']
Rs104886265,[u'common in clinvar']
Rs104886321,[u'common in clinvar']
Rs104893811,[u'common in clinvar']
Rs104886306,[u'common in clinvar']
Rs104886447,[u'common in clinvar']
Rs104893831,[u'common in clinvar']
Rs104893787,[u'common in clinvar']
Rs104886405,[u'common in clinvar']
Rs104886316,[u'common in clinvar']
Rs104886379,[u'common in clinvar']
Rs104893805,[u'common in clinvar']
Rs104893655,[u'common in clinvar']
