# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC006547.13	ENSG00000236540	ENST00000608610	antisense	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000609191	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006547.13	ENSG00000236540	ENST00000609644	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006547.13	ENSG00000236540	ENST00000628442	antisense	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.8	ENSG00000243762	ENST00000412713	antisense	0	0	0	11	0	0	0	0	0	0	0	5	0	1	0	2	0	0	0	0	0	0	0	0	0	3
AC006548.19	ENSG00000225480	ENST00000427470	processed_pseudogene	0	0	0	21	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10
AC006548.26	ENSG00000270226	ENST00000605217	processed_pseudogene	0	0	0	25	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	13
AC006548.28	ENSG00000280156	ENST00000623130	sense_overlapping	0	0	0	165	0	0	0	0	0	0	0	12	0	0	0	149	0	0	0	0	0	0	0	0	0	4
AC006946.12	ENSG00000235328	ENST00000429106	processed_pseudogene	0	0	0	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006946.15	ENSG00000235478	ENST00000428078	lincRNA	0	0	0	27	0	0	0	0	0	0	0	6	0	13	0	2	0	0	0	0	0	0	0	0	0	6
AC006946.15	ENSG00000235478	ENST00000441544	lincRNA	0	0	0	33	0	0	0	0	0	0	0	10	0	15	0	2	0	0	0	0	0	0	0	0	0	6
AC006946.16	ENSG00000273203	ENST00000608373	lincRNA	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	3
AC006946.17	ENSG00000273442	ENST00000609791	lincRNA	0	0	0	23	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	11
AC007050.17	ENSG00000236003	ENST00000420225	antisense	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007064.22	ENSG00000237835	ENST00000422608	processed_pseudogene	0	0	0	37	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	9
AC007064.24	ENSG00000237689	ENST00000442403	lincRNA	0	0	0	27	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	14
AC007064.25	ENSG00000237358	ENST00000412238	processed_pseudogene	0	0	0	17	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10
AC007064.29	ENSG00000283535	ENST00000637740	unprocessed_pseudogene	0	0	0	40	0	0	0	0	0	0	0	14	0	9	0	3	0	0	0	0	0	0	0	0	0	14
AC007308.7	ENSG00000272600	ENST00000608856	antisense	0	0	0	25	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	11
AC007326.1	ENSG00000279560	ENST00000623496	protein_coding	0	1	0	35	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	1	14
AC007326.10	ENSG00000280418	ENST00000624224	lincRNA	0	0	0	59	0	0	0	0	0	0	0	18	0	0	0	26	0	0	0	0	0	0	0	0	0	15
AC007326.12	ENSG00000283583	ENST00000636418	unprocessed_pseudogene	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC007326.9	ENSG00000271275	ENST00000604539	processed_pseudogene	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AC007731.1	ENSG00000188280	ENST00000583722	antisense	0	0	0	49	0	0	0	0	0	0	0	25	0	5	0	0	0	0	0	0	0	0	0	0	0	19
AC007731.1	ENSG00000188280	ENST00000610338	antisense	0	0	0	59	0	0	0	0	0	0	0	33	0	5	0	2	0	0	0	0	0	0	0	0	0	19
AC007731.1	ENSG00000188280	ENST00000617303	antisense	0	0	0	60	0	0	0	0	0	0	0	33	0	7	0	2	0	0	0	0	0	0	0	0	0	18
AC008079.10	ENSG00000280007	ENST00000623543	antisense	0	0	0	33	0	0	0	0	0	0	0	10	0	0	0	23	0	0	0	0	0	0	0	0	0	0
AC008079.9	ENSG00000187979	ENST00000434390	antisense	0	0	0	11	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0
AC008103.3	ENSG00000276095	ENST00000614596	lincRNA	0	0	0	55	0	0	0	0	0	0	0	1	0	26	0	4	0	0	0	0	0	0	0	0	0	24
AC008103.4	ENSG00000279987	ENST00000623570	sense_intronic	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13
AC008132.13	ENSG00000161103	ENST00000342005	transcribed_processed_pseudogene	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	5
AC008132.13	ENSG00000161103	ENST00000412938	processed_transcript	0	1	0	36	0	0	0	0	0	0	0	3	0	17	0	8	0	0	0	1	0	0	0	0	0	9
AC008132.13	ENSG00000161103	ENST00000416498	processed_transcript	0	0	0	27	0	0	0	0	0	0	0	15	0	7	0	0	0	0	0	0	0	0	0	0	0	5
AC008132.13	ENSG00000161103	ENST00000419447	processed_transcript	0	1	0	34	0	0	0	0	0	0	0	5	0	21	0	4	0	0	0	1	0	0	0	0	0	5
AC008132.14	ENSG00000239989	ENST00000437537	transcribed_processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC008132.15	ENSG00000182824	ENST00000342888	lincRNA	0	0	0	53	0	0	0	0	0	0	0	8	0	28	0	0	0	0	0	0	0	0	0	0	0	17
AC008132.15	ENSG00000182824	ENST00000611876	lincRNA	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.2	ENSG00000274044	ENST00000613790	lincRNA	0	0	0	35	0	0	0	0	0	0	0	7	0	8	0	3	0	0	0	0	0	0	0	0	0	17
AC011718.2	ENSG00000274044	ENST00000615974	lincRNA	0	0	0	35	0	0	0	0	0	0	0	8	0	25	0	2	0	0	0	0	0	0	0	0	0	0
AC011718.2	ENSG00000274044	ENST00000618517	lincRNA	0	0	0	38	0	0	0	0	0	0	0	3	0	16	0	2	0	0	0	0	0	0	0	0	0	17
AC011718.2	ENSG00000274044	ENST00000619172	lincRNA	0	0	0	38	0	0	0	0	0	0	0	3	0	8	0	10	0	0	0	0	0	0	0	0	0	17
AC011718.3	ENSG00000276874	ENST00000622906	lincRNA	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ACO2	ENSG00000100412	ENST00000216254	protein_coding	0	1	0	29	0	0	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	0	0	0	1	6
ACO2	ENSG00000100412	ENST00000396512	protein_coding	0	1	0	29	0	0	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	0	0	0	1	6
ACO2	ENSG00000100412	ENST00000466237	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
ACO2	ENSG00000100412	ENST00000471094	processed_transcript	0	0	0	26	0	0	0	0	0	0	0	2	0	18	0	0	0	0	0	0	0	0	0	0	0	6
ACO2	ENSG00000100412	ENST00000478010	retained_intron	0	0	0	7	0	0	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000481310	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ACO2	ENSG00000100412	ENST00000482208	retained_intron	0	0	0	5	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACR	ENSG00000100312	ENST00000216139	protein_coding	0	0	1	12	0	0	0	0	0	0	0	5	0	6	1	0	0	0	0	0	0	0	0	0	0	1
ACR	ENSG00000100312	ENST00000527761	processed_transcript	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	5
ACR	ENSG00000100312	ENST00000529621	protein_coding	0	0	0	8	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACR	ENSG00000100312	ENST00000533930	retained_intron	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTR3BP2	ENSG00000280263	ENST00000623630	processed_pseudogene	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ACTR3BP6	ENSG00000226444	ENST00000422332	processed_pseudogene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
ADM2	ENSG00000128165	ENST00000395737	protein_coding	0	0	0	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADM2	ENSG00000128165	ENST00000395738	protein_coding	0	0	0	20	6	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADORA2A	ENSG00000128271	ENST00000337539	protein_coding	0	1	0	18	1	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	1	3
ADORA2A	ENSG00000128271	ENST00000424232	protein_coding	0	0	0	16	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	8
ADORA2A	ENSG00000128271	ENST00000436735	protein_coding	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ADORA2A	ENSG00000128271	ENST00000439591	protein_coding	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ADORA2A	ENSG00000128271	ENST00000444262	protein_coding	0	1	0	21	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	1	6
ADORA2A	ENSG00000128271	ENST00000464977	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	6
ADORA2A	ENSG00000128271	ENST00000467385	processed_transcript	0	0	0	22	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	6
ADORA2A	ENSG00000128271	ENST00000472248	protein_coding	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ADORA2A	ENSG00000128271	ENST00000486108	protein_coding	0	0	0	16	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	8
ADORA2A	ENSG00000128271	ENST00000486351	processed_transcript	0	0	0	17	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	8
ADORA2A	ENSG00000128271	ENST00000496258	protein_coding	0	0	0	9	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	3
ADORA2A	ENSG00000128271	ENST00000496497	processed_transcript	0	0	0	18	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	3
ADORA2A	ENSG00000128271	ENST00000610595	protein_coding	0	1	0	15	1	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	1	4
ADORA2A	ENSG00000128271	ENST00000611543	protein_coding	0	1	0	25	1	0	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	0	0	0	1	8
ADORA2A	ENSG00000128271	ENST00000618076	protein_coding	0	1	0	15	1	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	1	4
ADORA2A-AS1	ENSG00000178803	ENST00000326341	antisense	0	0	0	92	0	0	0	0	0	0	0	2	0	80	0	4	0	0	0	0	0	0	0	0	0	6
ADORA2A-AS1	ENSG00000178803	ENST00000412790	antisense	0	0	0	62	0	0	0	0	0	0	0	6	0	49	0	1	0	0	0	0	0	0	0	0	0	6
ADORA2A-AS1	ENSG00000178803	ENST00000427813	antisense	0	0	0	86	0	0	0	0	0	0	0	2	0	77	0	1	0	0	0	0	0	0	0	0	0	6
ADSL	ENSG00000239900	ENST00000216194	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000342312	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000423176	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000466863	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000477111	retained_intron	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000480775	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000498234	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000623063	protein_coding	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000623287	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000623387	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000623632	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000623978	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000624027	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADSL	ENSG00000239900	ENST00000624474	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000624503	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000625194	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000636124	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000636265	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000636433	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADSL	ENSG00000239900	ENST00000636714	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000637666	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000637669	nonsense_mediated_decay	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ADSL	ENSG00000239900	ENST00000638161	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000399163	protein_coding	0	1	0	93	4	0	0	0	0	0	0	19	0	53	0	0	0	0	0	0	0	0	0	0	1	17
AIFM3	ENSG00000183773	ENST00000399167	protein_coding	0	1	0	93	4	0	4	0	0	0	0	19	0	53	0	0	0	0	0	0	0	0	0	0	1	13
AIFM3	ENSG00000183773	ENST00000405089	protein_coding	0	1	0	89	4	0	0	0	0	0	0	19	0	45	0	0	0	0	0	0	0	0	0	0	1	21
AIFM3	ENSG00000183773	ENST00000417515	nonsense_mediated_decay	0	0	0	64	0	0	0	0	0	0	0	19	0	28	0	0	0	0	0	0	0	0	0	0	0	17
AIFM3	ENSG00000183773	ENST00000426113	nonsense_mediated_decay	0	0	0	54	0	0	0	0	0	0	0	13	0	20	0	0	0	0	0	0	0	0	0	0	0	21
AIFM3	ENSG00000183773	ENST00000434714	protein_coding	0	0	0	65	0	0	0	0	0	0	0	22	0	22	0	0	0	0	0	0	0	0	0	0	0	21
AIFM3	ENSG00000183773	ENST00000440238	protein_coding	0	1	0	88	4	0	0	0	0	0	0	19	0	45	0	0	0	0	0	0	0	0	0	0	1	20
AIFM3	ENSG00000183773	ENST00000441376	protein_coding	0	0	0	58	0	0	0	0	0	0	0	13	0	28	0	0	0	0	0	0	0	0	0	0	0	17
AIFM3	ENSG00000183773	ENST00000465606	processed_transcript	0	0	0	54	0	0	0	0	0	0	0	19	0	25	0	5	0	0	0	0	0	0	0	0	0	5
AIFM3	ENSG00000183773	ENST00000467926	retained_intron	0	0	0	58	0	0	0	0	0	0	0	13	0	27	0	1	0	0	0	0	0	0	0	0	0	17
AIFM3	ENSG00000183773	ENST00000468124	processed_transcript	0	0	0	55	0	0	0	0	0	0	0	14	0	20	0	0	0	0	0	0	0	0	0	0	0	21
AIFM3	ENSG00000183773	ENST00000472575	retained_intron	0	0	0	58	0	0	0	0	0	0	0	13	0	27	0	1	0	0	0	0	0	0	0	0	0	17
AIFM3	ENSG00000183773	ENST00000479523	retained_intron	0	0	0	41	0	0	0	0	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	17
AIFM3	ENSG00000183773	ENST00000483107	processed_transcript	0	0	0	53	0	0	0	0	0	0	0	19	0	23	0	5	0	0	0	0	0	0	0	0	0	6
AIFM3	ENSG00000183773	ENST00000484206	retained_intron	0	0	0	54	0	0	0	0	0	0	0	13	0	19	0	1	0	0	0	0	0	0	0	0	0	21
